dataset,filename,setting,psnr,ssim,lpips
LSUI,1063.jpg,Full spatial guide,22.161283493041992,0.6216886043548584,0.16697420179843903
LSUI,1064.jpg,Full spatial guide,28.998003005981445,0.973583996295929,0.04325919225811958
LSUI,1065.jpg,Zero guide,25.851476669311523,0.9112647175788879,0.16818392276763916
LSUI,1066.jpg,Zero guide,24.76681900024414,0.9030687212944031,0.1853393018245697
LSUI,1065.jpg,Uniform guide,27.039663314819336,0.9627310633659363,0.10230612754821777
LSUI,1066.jpg,Uniform guide,32.775596618652344,0.9610063433647156,0.05043734237551689
LSUI,1065.jpg,Raw-input guide,28.556781768798828,0.9623687267303467,0.1001197025179863
LSUI,1066.jpg,Raw-input guide,32.374759674072266,0.959510326385498,0.06424982845783234
LSUI,1065.jpg,Cross-image guide,24.993677139282227,0.9513888359069824,0.13454388082027435
LSUI,1066.jpg,Cross-image guide,32.86681365966797,0.9598014950752258,0.04911872372031212
LSUI,1065.jpg,Full spatial guide,29.10067367553711,0.9653477072715759,0.07533147186040878
LSUI,1066.jpg,Full spatial guide,32.82350158691406,0.9610068798065186,0.04851822555065155
LSUI,1067.jpg,Zero guide,26.980281829833984,0.9066714644432068,0.241929292678833
LSUI,1068.jpg,Zero guide,23.829097747802734,0.8470763564109802,0.31907859444618225
LSUI,1067.jpg,Uniform guide,32.4268684387207,0.9506967067718506,0.0747920423746109
LSUI,1068.jpg,Uniform guide,26.322444915771484,0.9171309471130371,0.12119418382644653
LSUI,1067.jpg,Raw-input guide,29.939159393310547,0.9512267708778381,0.0957978144288063
LSUI,1068.jpg,Raw-input guide,25.456369400024414,0.9192337393760681,0.13644933700561523
LSUI,1067.jpg,Cross-image guide,31.99321746826172,0.9510807991027832,0.07551468163728714
LSUI,1068.jpg,Cross-image guide,26.20826530456543,0.9163756370544434,0.1347518116235733
LSUI,1067.jpg,Full spatial guide,32.07789611816406,0.9500007629394531,0.07672656327486038
LSUI,1068.jpg,Full spatial guide,26.28537940979004,0.9174161553382874,0.12314170598983765
LSUI,1069.jpg,Zero guide,25.90228271484375,0.8943632245063782,0.28806978464126587
LSUI,1070.jpg,Zero guide,18.096851348876953,0.7489820122718811,0.493402361869812
LSUI,1069.jpg,Uniform guide,30.087570190429688,0.9392966628074646,0.0990075170993805
LSUI,1070.jpg,Uniform guide,19.5054931640625,0.8322601318359375,0.299565851688385
LSUI,1069.jpg,Raw-input guide,27.502260208129883,0.939792811870575,0.11965122818946838
LSUI,1070.jpg,Raw-input guide,18.01056671142578,0.7856022715568542,0.3853151798248291
LSUI,1069.jpg,Cross-image guide,28.675140380859375,0.9419820308685303,0.10510827600955963
LSUI,1070.jpg,Cross-image guide,20.404369354248047,0.8572716116905212,0.2644202709197998
LSUI,1069.jpg,Full spatial guide,29.803388595581055,0.9391664862632751,0.10229818522930145
