dataset,filename,severity,spatial_score,method,psnr,ssim
LSUI,3068.jpg,Mild,5.658064365386963,WWE-UIE,26.729415893554688,0.9009719491004944
LSUI,3061.jpg,Mild,2.837677001953125,Uniform guide,26.685266494750977,0.9178774356842041
LSUI,3062.jpg,Moderate,6.343686103820801,Uniform guide,27.834583282470703,0.9012765884399414
LSUI,3063.jpg,Moderate,7.3268961906433105,Uniform guide,25.379531860351562,0.8602601885795593
LSUI,3064.jpg,Severe,8.316557884216309,Uniform guide,22.472267150878906,0.797935426235199
LSUI,3065.jpg,Moderate,6.222077369689941,Uniform guide,28.894893646240234,0.8916510939598083
LSUI,3066.jpg,Moderate,6.929110527038574,Uniform guide,28.995765686035156,0.915688693523407
LSUI,3067.jpg,Moderate,6.144883155822754,Uniform guide,22.805694580078125,0.8955872654914856
LSUI,3068.jpg,Mild,5.658064365386963,Uniform guide,23.652603149414062,0.8737329840660095
LSUI,3061.jpg,Mild,2.837677001953125,PROTEUS,28.777175903320312,0.9197125434875488
LSUI,3062.jpg,Moderate,6.343686103820801,PROTEUS,28.450054168701172,0.9314619898796082
LSUI,3063.jpg,Moderate,7.3268961906433105,PROTEUS,27.42168426513672,0.8507168292999268
LSUI,3064.jpg,Severe,8.316557884216309,PROTEUS,29.00366973876953,0.8629123568534851
LSUI,3065.jpg,Moderate,6.222077369689941,PROTEUS,29.317781448364258,0.8925221562385559
LSUI,3066.jpg,Moderate,6.929110527038574,PROTEUS,29.129850387573242,0.9165844321250916
LSUI,3067.jpg,Moderate,6.144883155822754,PROTEUS,26.410114288330078,0.9234611988067627
LSUI,3068.jpg,Mild,5.658064365386963,PROTEUS,26.074893951416016,0.8950789570808411
LSUI,3069.jpg,Moderate,6.677820682525635,Input,21.801326751708984,0.8219522833824158
LSUI,3070.jpg,Moderate,6.184009552001953,Input,20.43708610534668,0.849442183971405
LSUI,3071.jpg,Mild,4.575741291046143,Input,23.07987403869629,0.8120072484016418
LSUI,3072.jpg,Mild,3.5843403339385986,Input,21.198074340820312,0.8399785161018372
LSUI,3073.jpg,Severe,8.162246704101562,Input,19.11191749572754,0.8070324063301086
LSUI,3074.jpg,Mild,3.6193289756774902,Input,19.12143325805664,0.8516268730163574
LSUI,3075.jpg,Moderate,6.289558410644531,Input,21.67740821838379,0.8693026900291443
LSUI,3076.jpg,Moderate,6.935584545135498,Input,20.944950103759766,0.8698078989982605
LSUI,3069.jpg,Moderate,6.677820682525635,WWE-UIE,27.615543365478516,0.899993360042572
